"basiccar","pop.total","pop.male","pop.u20","pop.20.64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","lan.english","lan.spanish","lan.yiddish","lan.russian","lan.polish","lan.armenian","lan.hindi","lan.chinese","lan.vietnamese","lan.arabic","lan.hebrew","lan.african","city","x","y","R_MeanDiff","NR_CrimeCount","R_CrimeCount","R_MedianDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","crime.cap"
"10A17",29788.2761776429,50.8594954273659,24.2723549473085,63.285377117809,37.3866735079177,59.6778434691159,3.87142749521155,0.391929058041958,9.99997906341126,0.188449969660718,40.7264734038063,2.74981809768799,55.7446777851377,1437.79270134512,21.2666003401903,3.0415757663256,15.515695012828,12.3736987503558,68970.2046454713,13.1192130477344,5.50157390602432,44.2562452866514,29.2052567319367,6.01324541089318e-06,5.646705499778e-06,0.0692309402181696,2.26140435847436,0.0429008525441283,0.615771625936989,0.393751342091593,0.554309993324173,0.328178699149647,0.0712021231569455,1,-118.34664869,34.26958047,202.266666666667,7494,15,31,336.739506500344,0.214285714285714,0.25,0.25,0.285714285714286,0.252079037914781
"10A21",40652.7852649509,48.9789412059879,25.7490171221412,61.9780894225167,34.9130590117143,74.2265557989911,3.13390419863713,0.058145310747242,9.36857677559294,0.372517424623755,49.2839016152582,5.42655302921811,57.3101889974134,1651.5222012301,21.5917692409478,3.29793141461831,25.8799500708525,21.7087768461486,53324.5307977023,18.4250704403359,4.13993249267016,32.4810661006491,41.6865086692367,0.0807296440321899,0.0807247625462191,0.104330243480411,3.05854365817038,0.327862560601264,0.54834585117172,1.51900592569704,0.828681521539984,0.66958938725482,0.0222793382932227,1,-118.28347896,34.25185961,248.527777777778,9958,36,7,444.887111595169,0.169230769230769,0.276923076923077,0.323076923076923,0.230769230769231,0.245838014169632
"10A3",40311.9772733365,49.8651657116023,24.9705359535191,64.3825273713746,33.8006414430527,63.9086356822812,5.75546172355532,0.647082640039079,13.096682502682,0.0972592096400112,53.9122278764502,5.71989913236619,52.3167866298018,1620.82591359218,22.7398506400956,3.54232191319132,25.895710207902,19.44542518899,54095.86161698,18.5761517231198,5.00175924563679,28.6431081189738,41.7548785773327,0,0,4.67910584443833e-06,1.99713229247729,0.357264526159751,0.923381965847238,3.04283274601196,0.702879740990489,0.178059634956292,0.285417355306097,1,-118.46643771,33.99562065,163.258064516129,9437,31,3,420.636420022639,0.203125,0.3125,0.34375,0.140625,0.23486816178234
"10A39",24000.6562380109,50.3479582990974,29.885262257732,61.7672595647643,31.0813238633047,40.1100953013339,4.6354274045115,0.153196392129165,7.25794851941606,0.00100924916042579,66.3083432543069,9.18559160749287,54.5137416015431,1410.89120204594,19.8822193026461,3.23759437458544,29.3416691526299,23.2721992902149,42717.7119728666,23.2599659880775,7.66323967427882,25.1905500198439,52.6329825491351,0.0455081797702061,3.13543880303063e-05,0,1.94215398387716,0.32816591018644,0.640981149548008,0.0989208814228421,0.59663469036268,0.0714598462511677,0.202820314237329,1,-118.41458244,33.99541106,246.861111111111,7559,36,2.5,511.478146595184,0.202702702702703,0.310810810810811,0.324324324324324,0.162162162162162,0.316449680570461
"10A83",34253.106597166,48.4988312194825,22.560019369435,59.8917125138422,40.1395790952858,76.4546002999555,3.8290952706456,0.0984749644440647,7.17678651699677,0,17.6602186629763,1.16916021796542,52.5058924720494,1602.19989067231,25.9313643728329,2.63452699553355,6.02558858757742,10.9470893263512,87930.1231469208,9.12519773079962,4.69034766884032,49.909740989884,14.0024358613993,0.129882956863736,0.0842779944478695,0.158073634084918,2.51460396999185,0.185824113579073,0.839427867114009,0.352549782778286,0.42849744795608,3.29763723404268,0.191570692371312,1,-118.40946599,33.94202363,142.088235294118,9603,34,3,350.28121755605,0.176470588235294,0.323529411764706,0.367647058823529,0.132352941176471,0.281346743620543
"10A99",36037.4415564559,46.3887735210759,19.7395214694912,57.8645457402426,44.1163827265271,84.7380025747823,3.47209528957994,0.0294806526186141,7.62988817934353,0.058274163754777,8.47681860550839,0.516088443744262,47.0228908838467,1998.25228753726,29.4811855521148,2.39823964314636,6.0270705344198,10.6181313726735,96924.9193020243,9.03162931873907,5.50296896609093,53.1998619977594,5.8946055255414,0.194528502120064,0.161230146300315,0.0299136866785828,2.6598407281119,0.30715005046622,0.440826756259521,0.00746285094159459,0.30836578772873,6.29172643961651,0.00211591664429237,1,-118.52662289,34.28731425,38.2857142857143,9037,21,4,95.2849111124856,0.128205128205128,0.333333333333333,0.435897435897436,0.102564102564103,0.251349696559614
"11A1",31398.8510661215,48.7409699024733,14.2378921151,70.997739563915,32.5712089973418,63.5124849434698,2.13939279770542,0.237317587367682,16.1273926770144,0.241607103734339,24.6221409367937,1.82484184157753,41.105032825601,1522.66750033689,42.0171860120951,2.25738022716784,10.3980578388938,10.8282122691688,68941.4724939238,10.279956276751,6.5808610999474,50.2635492065011,21.988942086263,0.019108983689198,0.019108983689198,0.138483126848749,6.67435490357559,0.382368586083359,0.74700885907188,0.383791019610064,0.342695571977139,0.108606175054646,0.18554227088817,1,-118.53759038,34.23606391,156,10186,26,7.5,320.73004224737,0.1875,0.270833333333333,0.333333333333333,0.208333333333333,0.325234830360353
"11A17",38044.8236579278,48.3686009357155,21.9816816107893,61.5988208405267,36.5363702634368,53.9891692594608,1.35014391889825,0.587130022574401,26.3126091185848,0.265702894384528,39.1611885879517,1.70641787726848,39.0630281321625,1455.95680350856,24.5180253705352,2.76925027037948,11.9518438607262,10.6886240026727,76697.21836027,10.198599054208,5.27065864984037,45.0341678488807,25.0652482825663,0.00221426839254106,0.00221426839254106,0.0264495763263348,1.37382177262483,0.115555649425626,1.70109403787226,0.484602500261155,0.118985237187829,0.0942325061363824,0,1,-118.57286638,34.2363856,115.739130434783,8230,23,12,242.868879212876,0.0882352941176471,0.235294117647059,0.382352941176471,0.294117647058824,0.216928328389826
"11A25",27798.7155490923,48.439621472671,23.7076551482178,63.7002163908225,31.5105735855667,51.8339279620033,1.83861624156272,1.77906481274653,15.6139904059145,0.221453919636562,62.2107129402473,2.36325625875204,44.0545960375407,1127.82184722422,23.892415599785,3.07027312214018,22.9096211286824,16.214031143442,56637.7933565008,15.2664802303409,6.22060731095227,34.7552042897716,47.6416109797075,0.0520180745431617,0.0520180745431617,0.0431836048084892,0.0925678150951186,0.488074559816892,3.12017349618567,0.681108162779763,0.206706615716033,0.000200554906644884,0,1,-118.63229492,34.18847727,72.6470588235294,5739,17,7,132.76480198855,0.133333333333333,0.3,0.433333333333333,0.133333333333333,0.207059926557936
"11A37",31450.4762811611,49.3427338729548,26.1305881421863,65.1192970333759,30.2825727982158,46.7620785544102,2.59850921148141,1.51343219101368,7.47103315164018,0.217299192407233,73.7229210799862,8.44924545657885,52.6616412821605,1325.62274684155,22.327871818957,3.2506511419004,33.2720783565442,26.0073775795293,46600.2807849748,20.1594570081054,6.47277891124129,26.0433110835219,60.9497467588525,1.24616535991915e-05,1.24616535991915e-05,0.0222571737505777,0.000991126986886113,0.00164204845185838,1.72794544180108,0.498564104275377,0.177306679690522,0.0795010857038058,0,1,-118.59334632,34.19233552,160.642857142857,7640,28,2,353.629039184422,0.196428571428571,0.303571428571429,0.321428571428571,0.178571428571429,0.243811887980633
